DRAUGHT,KMT,VCB,KML,WLA,WSA,CM,CP,CW,LWL
m,m,m,m,m2,m2,,,,m
2.000,95.385,1.317,2249.842,10745.0,11283,0.987,0.7024,0.7422,259.10
2.100,91.728,1.353,2248.092,10926.3,11467,0.988,0.7046,0.7557,265.07
2.200,88.196,1.390,2228.984,11074.6,11676,0.988,0.7072,0.7664,270.89
2.300,84.845,1.428,2192.228,11189.9,11838,0.989,0.7100,0.7748,276.59
2.400,81.706,1.467,2133.727,11266.7,11955,0.989,0.7129,0.7806,280.43
2.500,78.783,1.506,2071.394,11329.3,12057,0.990,0.7157,0.7850,280.75
2.600,76.063,1.546,2010.284,11385.0,12153,0.990,0.7185,0.7890,280.86
2.700,73.524,1.587,1951.964,11436.4,12245,0.991,0.7212,0.7926,280.86
2.800,71.155,1.629,1896.359,11484.2,12334,0.991,0.7238,0.7960,0.15
2.900,68.943,1.671,1842.955,11528.1,12419,0.991,0.7263,0.7991,280.75
3.000,66.866,1.714,1792.508,11569.9,12502,0.991,0.7288,0.8020,280.70
3.100,64.917,1.757,1744.717,11609.6,12583,0.992,0.7312,0.8048,280.69
3.200,63.087,1.801,1699.325,11647.5,12663,0.992,0.7336,0.8074,280.72
3.300,61.365,1.845,1656.175,11683.6,12741,0.992,0.7359,0.8099,280.77
3.400,59.742,1.890,1615.207,11718.2,12818,0.992,0.7381,0.8124,280.84
3.500,58.207,1.934,1576.195,11751.4,12894,0.993,0.7403,0.8147,280.93
3.600,56.760,1.980,1539.065,11783.6,12968,0.993,0.7424,0.8169,281.02
3.700,55.387,2.027,1503.625,11814.2,13042,0.993,0.7445,0.8191,281.11
3.800,54.088,2.073,1470.222,11844.6,13115,0.993,0.7465,0.8212,281.21
3.900,52.855,2.119,1438.215,11873.7,13187,0.993,0.7484,0.8232,281.31
4.000,51.682,2.166,1407.556,11901.7,13258,0.994,0.7503,0.8252,281.41
4.100,50.567,2.213,1378.233,11928.8,13329,0.994,0.7522,0.8271,281.51
4.200,49.507,2.260,1350.192,11955.3,13399,0.994,0.7540,0.8289,281.61
4.300,48.494,2.307,1323.283,11980.8,13468,0.994,0.7558,0.8307,281.70
4.400,47.530,2.355,1297.555,12005.8,13536,0.994,0.7575,0.8324,281.80
4.500,46.610,2.402,1272.863,12030.3,13605,0.994,0.7592,0.8341,281.90
4.600,45.733,2.450,1249.411,12054.9,13673,0.994,0.7609,0.8358,282.00
4.700,44.894,2.498,1226.922,12079.0,13742,0.995,0.7625,0.8375,282.10
4.800,44.091,2.547,1205.272,12102.6,13809,0.995,0.7641,0.8392,282.19
4.900,43.323,2.595,1184.426,12125.7,13877,0.995,0.7656,0.8408,282.29
5.000,42.587,2.644,1164.399,12148.4,13944,0.995,0.7671,0.8424,282.38
5.100,41.881,2.693,1145.089,12170.6,14011,0.995,0.7686,0.8439,282.48
5.200,41.204,2.742,1126.441,12192.4,14078,0.995,0.7701,0.8454,282.57
5.300,40.552,2.791,1108.547,12214.1,14145,0.995,0.7716,0.8469,282.66
